area_code,area_name,district,dong,lat,lon,area_size
3110830,상도초등학교,동작구,상도4동,37.50003712222016,126.93885241447533,126620
3110831,상도4동주민센터,동작구,상도4동,37.498650467700855,126.94060640252178,56494
3110880,신림역 1번,관악구,서원동,37.48396925029782,126.93346098403177,38288
3110881,구립대학경로당(관악산샘말공원),관악구,대학동,37.46769853841552,126.9362223021795,234224
3110882,신성초등학교,관악구,서림동,37.473023526393646,126.93625169251668,147004
3110942,염곡동 구룡사(포이동성당),서초구,양재2동,37.46958093920278,127.04589577327441,252432
3110943,법제교육센터(버들어린이공원),서초구,양재2동,37.47347311339666,127.0463842665295,57521
3110944,서울나래학교(염곡어린이공원),서초구,내곡동,37.46264985921237,127.05148668646524,70228
3110968,강남구청역 2번,강남구,논현2동,37.514651405696064,127.04017728415381,43750
3110969,베르사이유1아파트,강남구,역삼2동,37.498901794389674,127.04030454992456,55302
3110970,학동초등학교,강남구,논현2동,37.51156961384925,127.04121621721019,50014
3110971,선정릉역 4번,강남구,역삼1동,37.50728024088782,127.04287643755754,133222
3110972,강남세브란스병원미래의학연구센터,강남구,역삼2동,37.49455817070105,127.04250730304766,46603
3110973,강남구청역 4번,강남구,청담동,37.518821856356446,127.04355043686776,66136
3111037,Sh수협은행 오금동금융센터(아랫말어린이공원),송파구,오금동,37.504513831140805,127.13763832029571,27617
3111017,송파나루역 3번,송파구,방이2동,37.50913270698353,127.11546723853742,32806
3111018,풍납초등학교(풍납백제문화공원),송파구,풍납1동,37.536738404045565,127.11649415206809,27101
3111041,거여역 8번,송파구,거여1동,37.49394070670083,127.14130533593624,12895
3111042,거여역 1번(거여공원),송파구,거여1동,37.49713654406891,127.14357306164347,146365
3110848,양지어린이공원,동작구,사당1동,37.48165188517359,126.97574820925163,116036
3111077,길동주민센터(강동도서관),강동구,길동,37.53719550086777,127.14326513418865,247203
3111028,문현중학교(장지역 1번),송파구,장지동,37.48182002557716,127.12733063992445,53688
3111050,강동구청(강동구청역 2번),강동구,성내1동,37.53074762172461,127.12447223310747,19565
3111051,천호역 6번,강동구,성내2동,37.53472111071503,127.1243996374976,159647
3111052,암사역 3번(천호동자전거거리),강동구,천호2동,37.54790198936116,127.12510051019554,129295
3111053,성내천어린이공원(하니사랑길),강동구,성내1동,37.526187642325176,127.12533575007856,139845
3110823,신대방삼거리역 3번,동작구,신대방2동,37.49536283253441,126.92643975532327,88509
3110824,대방역 3번,동작구,대방동,37.51195968526966,126.92697769750927,46862
3110825,신대방삼거리역 1번,동작구,상도3동,37.496213046443046,126.93188956480161,182490
3110871,신원동주민센터,관악구,신원동,37.480514744310774,126.92727965292688,49950
3110849,이수역 10번,동작구,사당3동,37.48589591263276,126.97713757819878,119168
3110898,청림동주민센터(상도중학교),관악구,청림동,37.49098150293651,126.95842194720214,57942
3110899,낙성대역 5번(관악중학교),관악구,행운동,37.4792158903877,126.96310907993906,73363
3111029,오금역 4번,송파구,가락2동,37.497884928294894,127.12738052925893,43089
3111030,방이역 2번,송파구,오금동,37.506334079138135,127.12947590742026,50911
3110856,미성초등학교,관악구,미성동,37.47982945317871,126.91315922448254,127503
3110857,미성동주민센터,관악구,미성동,37.475271208267024,126.91434024298789,113505
3110858,신대방역 1번,관악구,신사동,37.48696656212724,126.91470002177657,23709
3110859,난향초등학교,관악구,난향동,37.46313623867954,126.916637376392,77274
3110872,신림초등학교,관악구,신원동,37.47824447329985,126.92772277446338,53857
3110873,당곡중학교,관악구,보라매동,37.49122005096885,126.9294742646681,132683
3110926,신중초등학교,서초구,서초3동,37.481609051735134,127.00801608855255,98883
3110900,낙성대역 1번(관악구민 종합체육센터),관악구,인헌동,37.474332513851415,126.96341671782614,111817
3110983,국립국악고등학교,강남구,개포4동,37.47790448472096,127.05028744787174,56042
3110984,포이초등학교(개포목련어린이공원),강남구,개포4동,37.473804098067625,127.05211611260901,137098
3110985,청담근린공원,강남구,청담동,37.52322430097347,127.05209390733614,43265
3110986,삼성중앙역 7번,강남구,삼성2동,37.510547066358605,127.052356548874,15944
3110987,영동대교남단,강남구,청담동,37.52610679807326,127.05367971777855,31393
3110832,노량진초등학교,동작구,노량진1동,37.51027405078857,126.9418413498675,100857
3110833,상도역 2번,동작구,상도2동,37.50351813253174,126.94522812869438,54544
3110834,동작구자원봉사센터,동작구,노량진1동,37.508708227610335,126.94589164292432,33607
3110909,남태령역(서울전자고등학교),서초구,방배2동,37.46632767619737,126.98895610133269,73654
3110910,내방역 5번,서초구,방배4동,37.48829433820564,126.98948430655278,60073
3110911,방배배수지체육공원,서초구,방배3동,37.472724930808944,126.98982563370724,282743
3110912,방배동사이길,서초구,방배본동,37.49419599826772,126.99019588863594,26478
3111002,한국교통안전공단 강남자동차검사소,강남구,세곡동,37.4695024332252,127.11946451874083,59241
3110927,잠원역,서초구,잠원동,37.51280164188977,127.01117516268238,60236
3110928,서초우방유쉘아파트,서초구,서초3동,37.48899700142992,127.011816131805,22283
3110929,남부터미널역 1번,서초구,서초1동,37.48854529413417,127.02059047499684,186714
3110988,청담역 3번,강남구,삼성1동,37.51829484426531,127.05425101906182,79185
3110989,대치동아우편취급국,강남구,대치4동,37.502878544358616,127.05449997860173,40587
3110990,청담역 12번,강남구,청담동,37.52055597896897,127.05507843669162,10107
3110991,삼성중앙역 5번,강남구,삼성1동,37.512464459120494,127.05615833085423,26622
3111054,암사역 4번(삼성광나루아파트),강동구,암사2동,37.553935288237795,127.12825674847986,15538
3111055,선사초등학교,강동구,암사2동,37.55515121358037,127.12864361999064,11026
3111056,천호태영아파트,강동구,천호3동,37.53774374681216,127.12880605851154,31985
